x,y,yaw
0.7401,3.1522,-1.5707963267949
0.7401,3.1287,-1.5707963267949
0.7401,3.0875,-1.5707963267949
0.7401,3.0278,-1.5707963267949
0.7401,2.9593,-1.5707963267949
0.7401,2.9067,-1.5707963267949
0.7401,2.8735,-1.5707963267949
0.7401,2.8345,-1.5707963267949
0.7402,2.7787,-1.5707963267949
0.7402,2.7058,-1.5707963267949
0.7402,2.6199,-1.5707963267949
0.7402,2.5511,-1.5707963267949
0.7402,2.4877,-1.5707963267949
0.7402,2.4087,-1.5707963267949
0.7402,2.3112,-1.5707963267949
0.7402,2.1989,-1.5707963267949
0.7402,2.0893,-1.5707963267949
0.7402,1.9949,-1.5707963267949
0.7402,1.8913,-1.5707963267949
0.7402,1.7691,-1.5707963267949
0.7402,1.6366,-1.5707963267949
0.7402,1.5166,-1.5707963267949
0.7402,1.3936,-1.5707963267949
0.7402,1.252,-1.5707963267949
0.7402,1.104,-1.5707963267949
0.7402,0.9722,-1.5707963267949
0.7402,0.8538,-1.5707963267949
0.7402,0.7204,-1.5707963267949
0.7402,0.5684,-1.5707963267949
0.7402,0.4236,-1.5707963267949
0.7402,0.2971,-1.5707963267949
0.7402,0.1759,-1.5707963267949
0.7402,0.0361,-1.5707963267949
0.7402,-0.1165,-1.5707963267949
0.7402,-0.2621,-1.5707963267949
0.7402,-0.3874,-1.5707963267949
0.7402,-0.5153,-1.5707963267949
0.7402,-0.6592,-1.5707963267949
0.7402,-0.8177,-1.5707963267949
0.7402,-0.9681,-1.5707963267949
0.7402,-1.1151,-1.5707963267949
0.7402,-1.2512,-1.5707963267949
0.7402,-1.4009,-1.5707963267949
0.7402,-1.566,-1.5707963267949
0.7402,-1.7138,-1.5707963267949
0.7402,-1.8541,-1.5707963267949
0.7402,-2.0126,-1.5707963267949
0.7402,-2.1825,-1.5707963267949
0.7402,-2.3401,-1.5707963267949
0.7402,-2.4796,-1.5707963267949
0.7402,-2.6187,-1.5707963267949
0.7403,-2.7763,-1.5707963267949
0.7403,-2.9256,-1.5707963267949
0.7403,-3.0567,-1.5707963267949
0.7403,-3.1655,-1.5707963267949
0.7403,-3.2559,-1.57065481205343
0.7403,-3.3253,-1.5707963267949
0.7403,-3.3764,-1.5707963267949
0.7403,-3.4076,-1.5707963267949
0.7403,-3.426,-1.5707963267949
0.7403,-3.4592,-1.5707963267949
0.7403,-3.5094,-1.5707963267949
0.7403,-3.5782,-1.5707963267949
0.7403,-3.6443,-1.5707963267949
0.7403,-3.6919,-1.5707963267949
0.7403,-3.7393,-1.5707963267949
0.7403,-3.804,-1.5707963267949
0.7403,-3.8869,-1.5707963267949
0.7403,-3.9624,-1.5707963267949
0.7403,-4.0196,-1.5707963267949
0.7403,-4.0568,-1.5707963267949
0.7404,-4.0746,-1.5707963267949
0.7404,-4.0745,-1.57334074039097
0.7404,-4.0743,-1.57348210257328
0.7404,-4.0741,-1.57348214472165
0.7404,-4.0747,-1.57348495134077
0.7404,-4.0891,-1.57362354792814
0.7403,-4.1211,-1.57362373135384
0.7401,-4.1715,-1.57362503312426
0.7399,-4.2398,-1.57362503312426
0.7397,-4.3239,-1.57362495657345
0.7394,-4.4242,-1.57362490950214
0.7391,-4.5181,-1.57362489371775
0.738,-4.5917,-1.57802519694669
0.7357,-4.6445,-1.63128740550406
0.7331,-4.6781,-1.63128740550406
0.7321,-4.69,-1.66044160462773
0.7321,-4.6898,-1.67498283813125
0.7321,-4.6896,-1.67496253121701
0.7321,-4.6896,-1.67495801928783
0.7309,-4.701,-1.67495728394048
0.7278,-4.7308,-1.67593592078393
0.7227,-4.7785,-1.67606854553529
0.7159,-4.8427,-1.67606861762683
0.7072,-4.9253,-1.67606677094998
0.6969,-5.0232,-1.67606778294331
0.6848,-5.1375,-1.67606697164574
0.6708,-5.2702,-1.67606651826477
0.6542,-5.4162,-1.67663325900446
0.6288,-5.5736,-1.70399937309614
0.5948,-5.7084,-1.77619968799049
0.5524,-5.8199,-1.87999087320866
0.5068,-5.906,-2.00490331872067
0.4632,-5.9739,-2.10660930512837
0.428,-6.0236,-2.1936872292794
0.403,-6.0576,-2.1936872292794
0.3888,-6.0768,-2.20101674904495
0.3837,-6.0837,-2.20078269451148
0.369,-6.1037,-2.20072749530594
0.3437,-6.1384,-2.20077228447295
0.3085,-6.1866,-2.20063736597575
0.2624,-6.2498,-2.20063736597575
0.2072,-6.3255,-2.20062783233467
0.1475,-6.4074,-2.20062180508911
0.0998,-6.4727,-2.20062186842997
0.0632,-6.5222,-2.20278056337397
0.0369,-6.5561,-2.21891736493126
0.0222,-6.5742,-2.24201310084411
0.0216,-6.5751,-2.26105310996277
0.0218,-6.575,-2.2632509946581
0.0201,-6.577,-2.26324778890339
0.0077,-6.5918,-2.26423036739552
-0.0158,-6.62,-2.26645953950557
-0.0512,-6.6624,-2.26645650351347
-0.0971,-6.7173,-2.26653952402007
-0.1537,-6.7851,-2.2665386174226
-0.2223,-6.8671,-2.26653871682615
-0.3019,-6.9582,-2.27496139325653
-0.3885,-7.0463,-2.39358424305605
-0.466,-7.1126,-2.48775432500713
-0.531,-7.1579,-2.48775432500713
-0.5827,-7.1867,-2.58592630875412
-0.6202,-7.2034,-2.67853297696083
-0.6417,-7.2114,-2.7500949029303
-0.6729,-7.2221,-2.80746374316009
-0.7134,-7.2327,-2.85144709789517
-0.7707,-7.2427,-2.92507784414477
-0.8479,-7.2488,-3.01561218445282
-0.9383,-7.2479,-3.10970074060211
-1.017,-7.2418,3.0916624840788
-1.0756,-7.2352,3.04320891392143
-1.1217,-7.2295,3.02399770891637
-1.1807,-7.2223,3.02143342198854
-1.258,-7.213,3.02146950378394
-1.3508,-7.2017,3.02148516591811
-1.4578,-7.1888,3.02150512223975
-1.5537,-7.1767,3.02109559156679
-1.628,-7.1653,3.00340672071833
-1.6832,-7.1545,2.96843639795295
-1.7182,-7.1461,2.9261924160303
-1.7945,-7.1241,2.85860013005575
-1.8494,-7.108,2.85598360142119
-1.92,-7.0873,2.85601352830168
-2.0083,-7.0614,2.85601478820807
-2.1086,-7.0313,2.85561752516502
-2.1971,-7.0018,2.83595776798172
-2.2638,-6.9757,2.79268404143316
-2.3117,-6.9538,2.73887788286668
-2.3405,-6.9386,2.68352995296223
-2.3495,-6.9336,2.63907097243234
-2.3492,-6.9337,2.62115788075244
-2.349,-6.9338,2.62117389148792
-2.3489,-6.9338,2.62118421926028
-2.3566,-6.9294,2.62124300271285
-2.3798,-6.9159,2.61794548074235
-2.4181,-6.8936,2.61465870307175
